Subject,Topic,Subtopic,QuestionText,Explanation,OptionA,OptionB,OptionC,OptionD,CorrectOpt
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,"A gentleman presents to the OPD with a saddle nose deformity. He gives a history of cough, on-and-off fever, and hemoptysis. On examination, septal perforation is present with pale granuloma. His chest X-ray showed multiple cavitary lesions, and the biopsy showed granuloma, multinucleated giant cells, and caseous necrosis. What is the probable cause?"," Nasal tuberculosis can occur secondary to pulmonary tuberculosis.
 • Commonly involves the anterior end of the inferior turbinate and the anterior part of the nasal septum.
 • Chronic inflammation can destroy the nasal septum resulting in a deformity called saddle nose
 deformity.
 • It is diagnosed by biopsy, which shows caseating granulomas, Langhans multinucleated giant cells,
 and necrotic debris.",Wegener’s granulomatosis,Tuberculosis,Syphilis,Sarcoidosis,
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,A South Indian male farmer presents to the ENT OPD with complaints of reddish mass coming out from the nose and histopathology image as given below. What is the likely diagnosis? (or) What is the likely diagnosis based on the images given below?,"• Rhinosporidiosis is a chronic fungal infection caused by the organism Rhinosporidium seeberi. It
 primarily affects the mucous membranes of the nose and occasionally other sites like the eye, skin, and
 genitals.
 • Rhinosporidiosis is commonly seen in South India.
 • The clinical presentation of rhinosporidiosis often includes the presence of reddish or pinkish masses
 or polyps in the nasal cavity.
 • Histopathology shows sporangium with sporangiospores.
 • These masses can vary in size and may bleed when touched or traumatized. The given image
 showing a mass protruding from the nose is suggestive of this characteristic presentation.",Rhinosporidiosis,Rhinoscleroma,Rhinophyma,Nasal polyp,
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,A 65-year-old patient presents with right-sided nasal obstruction and occasional blood-stained nasal discharge. His CT and endoscopy findings are shown in the below image. What could be the underlying cause? (or) CT and endoscopy findings are shown in the below image. What could be the underlying cause?,"• The image shows Inverted papilloma causing erosion or remodeling of adjacent bony structures, such
 as the nasal septum or the walls of the sinuses.
 • Inverted papilloma is a benign sinonasal tumor that arises from the lining of the nasal cavity or
 paranasal sinuses.
 • It often presents with unilateral nasal obstruction, recurrent nosebleeds, and the potential for locally
 aggressive behavior",Inverted papilloma,Carcinoma maxilla,Esthesioneuroblastoma,Nasopharyngeal angiofibroma,
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,An audiogram of a 30-year-old female is given. Diagnosis is?," • There is a dip in the bone conduction curve at 2000Hz in the graph of a 30-year-old female shown
 above which is called as Carhatz notch.
 • Carhatz notch is seen in otosclerosis.
 • The air conduction seen in the graph is also affected",Otosclerosis,Meniers disease,Noise-induced hearing loss,Presbycusis,
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,"A patient presents with a foul smell from the nose, anosmia and nasal obstruction. The following is noted during examination. The diagnosis is?"," The image shows crusting and a wide roomy nasal cavity
 • The patient has anosmia beacuse the his olfactory fibres are atrophic-merciful anosmia
 • The people around the patient complain of foul smell where the patient is unaware of this.Hence
 called as merciful anosmia.
 • All these are features of ATROPHIC RHINITIS.",Atrophic rhinitis,Rhinitis sicca,Rhinitis medicamentosa,Allergic rhinitis,
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,Type of voice associated with the condition shown in the image below?,"• The xray shows hypertrophy of the adenoid which causes obstruction to the nasal airway.
 • This further causes nasal twang in the voice which is called Rhinorrhea clausa",Rhinolalia clausa,Rhinolalia aperta,Hot potato voice,Hypernasality,
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,"A 22-year-old male with recurrent bleeding, presents with the following signs shown on CECT. All are false except?"," • The image shows the anterior bowing of the posterior wall of the maxillary sinus which is called the
 HOLMAN MILLER Sign
 • This is seen in Juvenile nasal angiofibroma
 • This tumor bleeds excessively because the tumor lacks smooth muscle that can contract",Outgrown the blood supply,Tumor vessels lack contractility,Bleeding is from the adjacent invading blood vessels,It lacks capsule,
Pediatrics,Nutrition,Nutrition,"What is the accurate statement about the condition depicted in the image, as presented by a child?","→ Kwashiorkor is a type of malnutrition characterized by severe protein deficiency. → It causes fluid retention and a swollen, distended abdomen. → Because of edema, children with kwashiorkor may look healthy, so their parents view them as well-fed. Incorrect Choices: → Option b. Kwashiorkor is a type of moderate to severe malnutrition due to severe protein deficiency. It is not because of calorie deficiency. → Option c. Marasmus is a type of moderate to severe malnutrition due to rapid deterioration in nutritional status mainly caused by a deficiency in calories and energy. → Option d. Marasmus is a type of moderate to severe malnutrition caused by a deficiency in calories and energy. The main sign is severe wasting; the child appears thin (skin and bones) and has no fat. There is no edema.",Kwashiorkor due to protein malnutrition,Kwashiorkor due to calorie malnutrition,Marasmus due to protein malnutrition,Marasmus due to calorie malnutrition,A
Pediatrics,Nutrition,Nutrition,"As per the current suggested dietary guidelines for children, the proportion of total energy intake derived from saturated fats should be _______.","Correct Option A: → < 10%: This is the correct choice. According to the current recommended dietary guidelines for children, the intake of saturated fats should be less than 10% of total energy intake. This guideline is in place to promote a diet that is low in saturated fats and encourages the consumption of healthier sources of fats, such as unsaturated fats. Incorrect choices : Option B. < 5%: This choice suggests that saturated fats should constitute less than 5% of total energy intake. However, this is not the current recommendation for children. While it is true that limiting satura ted fat intake is beneficial, the recommended threshold for children is slightly higher than 5%. Option C. < 15%: This choice suggests that saturated fats should be less than 15% of total energy inta ke. Although a limit of 15% may be applicable for adults or certain age groups, it is not the recommend ed guideline specifically for children. Option D. < 30%: This choice suggests that saturated fats should be less than 30% of total energy inta ke. However, this figure is too high for the recommended intake of saturated fats in children. High cons umption of saturated fats is associated with an increased risk of cardiovascular diseases, and the guid elines aim to limit their intake.",< 10%,< 5%,< 15%,< 30%,A
Pediatrics,Nutrition,Nutrition,"What is the diagnosis for a 7-month-old child presented by her mother with complaints of diarrhea and mucocutaneous lesions, as depicted in the image? These symptoms have been observed since the initiation of weaning.","Correct Option: B → Based on the information provided, the most likely diagnosis for the child's symptoms after weaning from breast milk is Acrodermatitis enteropathica. → Acrodermatitis enteropathica is a rare autosomal recessive disorder characterized by impaired zinc absorption, leading to zinc deficiency. It typically manifests when breast milk or formula is replaced with a zinc-deficient diet, such as solid foods. The condition is characterized by diarrhea, skin lesions, and other mucocutaneous manifestations. The key features of Acrodermatitis enteropathica include: The other options listed are less likely based on the given information: Option A: Wiskott Aldrich syndrome is a primary immunodeficiency disorder characterized by recurrent infections, eczema, thrombocytopenia (low platelet count), and small platelet size. It typically presents i n early childhood and is not specifically associated with weaning or mucocutaneous lesions. Option C: Pediatric epidermolysis bullosa is a group of inherited disorders characterized by fragile skin and mucous membranes, leading to blistering and erosions with minimal trauma. It can be present at bi rth or develop in early childhood, but the association with weaning and diarrhea is less typical. Option D: Atopic dermatitis is a chronic inflammatory skin condition characterized by dry, itchy skin and a rash. It often starts in infancy or early childhood and can be associated with a personal or family history of allergies. While it can present with diarrhea, the mucocutaneous lesions described in the question a re not specific for atopic dermatitis.",Wiskott Aldrich syndrome,Acrodermatitis enteropathica,Paediatric epidermolysis bullosa,Atopic dermatitis,B
Pediatrics,Nutrition,Nutrition,A child comes to your outpatient department exhibiting the findings depicted in the image provided. What is the probable diagnosis?,"Correct choice : A Explanation Kwashiorkor It is a form of malnutrition caused by a lack of protein in the diet. It causes fluid retention and a swollen, distended abdomen. Kwashiorkor mo st commonly affects children, particularly in developing countries with high levels of poverty and food in security. Wellcome classification is a system for classifying proteinnenergy malnutrition in children based on per centage of expected weightnfornage and the presence or absence of oedema. Wellcome Trust Classification Weight for Age (Boston) (% of expected) Odema Clinical Type of PSM 60-80 + Kwashiorkor - Underweight <60 Marasmus Marasmic Kwashiorkor Incorrect choices Option B: Marasmus is an undernourishment causing a child's weight to be significantly low for their age. It occurs as a result of total calorie insufficiency. This leads to overt loss of adipose tissue and muscle. Option C: Nephrotic syndrome is a kidney disorder that causes the body to excrete too much protein in the urine. Kidney disease that affects a kidney's filtering system is the most common cause of nephroti c syndrome in children. The type of nephrotic syndrome that is most common in children is called idiop athic nephrotic syndrome. Option D: Nephritic syndrome is a clinical syndrome that presents as hematuria, elevated blood pressu re, decreased urine output, and edema. In children, the most common cause of acute glomerulonephrit is is post-streptococcal glomerulonephritis which leads to sudden onset of the nephritic syndrome in se ven to ten days after a streptococcal throat or 2-3 weeks after a skin infection (impetigo).",Kwashiorkor,Marasmus,Nephrotic syndrome,Nephritic syndrome,A
Ophthalmology,Ocular Disorders,Ocular Injuries,"Which investigation can be harmful to this patient with a suspected foreign body in his eye, who was admitted to the hospital following an eye injury incurred while using a hammer and iron chisel to cut stone in an industrial setting?","• An MRI uses a strong magnetic field and radio waves to generate detailed images of the body's
 structures. However, it is contraindicated in cases where there is a risk of metallic foreign bodies, such
 as in this industrial worker with a suspected foreign body in the eye. The strong magnetic field of an
 MRI can cause movement or displacement of the metallic object, potentially leading to further injury or
 damage to the eye",MRI,CT,X-ray,B mode scan,A
Ophthalmology,Ocular Disorders,Ocular Injuries,"Within 6 weeks of experiencing a penetrating accidental injury to his left eye caused by a wooden stick, a 28-year-old man presented with symptoms including severe vision loss, pain, redness, and sensitivity to light in his right eye. The attending doctor will be able to identify the initial indication of sympathetic ophthalmitis upon conducting a fundus examination."," • Retrolental flare refers to the presence of protein and inflammatory cells in the vitreous cavity, which
 can be seen on fundus examination. It is a characteristic finding in sympathetic ophthalmia and
 indicates the presence of intraocular inflammation.",Circumcorneal congestion,Hypopyon,Retrolental flare,Iris nodule,C
Oncology,Final,Oncology,"What is the most probable diagnosis for a 40-year-old male patient who has a swelling that has been gradually increasing in size over the last two years, with a variable consistency and complete mobility upon examination?","→ The described clinical scenario of a slowly growing, variable consistency, and fully mobile swelling as in the image in a 40-year-old male is most suggestive of a parotid tumor. → The parotid gland is the most common site of salivary gland tumors, and these tumors often present as painless, slowly enlarging masses in the cheek or jaw area. → Incorrect Choices: Option a. Dermoid cyst: These are slow-growing benign cysts that are typically present at birth. They u sually have a uniform consistency, unlike the variable consistency noted in this case. → External Angular Dermoid : (Most common) 1776 → Internal Angular Dermoid Present is relation to fronto – zygomatic suture Painless swelling Soft, smooth, non – tender CT is done to rule out dural attachment → Present is relation to fronto – zygomatic suture → Painless swelling → Soft, smooth, non – tender → CT is done to rule out dural attachment → Treatment · Investigation of choice: surgical excision → Present is relation to fronto – zygomatic suture → Painless swelling → Soft, smooth, non – tender → CT is done to rule out dural attachment Option c. Sebaceous cyst: These are typically located on the skin surface and are filled with keratin, a type of protein found in skin cells. They are usually small and have a uniform consistency. → Proliferation of epidermal cells → Content: White creamy material – desquamated epithelial cells & keratin → Black colored punctum is seen in cyst except cysts present in scrap & scrotum → Misnomer because not of sebaceous origin and content is not sebum. Option d. Cervical lymph node: While swollen lymph nodes can cause lumps, they usually occur due to an infection or a malignancy.",Dermoid cyst,Parotid tumor,Sebaceous cyst 1773,Cervical lymph node,B
Oncology,Final,Oncology,Please provide the relevant information and context for the diagnosis of this 60-year-old man.,"Correct Option D: → The diagnosis for this 60-year-old man is SCC (Squamous Cell Carcinoma) of the lip, as indicated by the provided image. → Based on the image showing SCC of the lip, it is evident that the patient has a malignant tumor involving the lip. Squamous cell carcinoma is a type of skin cancer that commonly occurs on sun-exposed areas, including the lips. It typically presents as a non-healing ulcer or a raised, crusted lesion with irregular borders. Incorrect Option: Option A: Basal cell carcinoma is another common type of skin cancer, but it typically presents with diff erent clinical features and is less likely to be associated with lip involvement. Option B: Plunging ranula refers to a cystic lesion that occurs in the floor of the mouth and is not related to lip carcinoma. Option C: Epulis refers to a benign tumor or overgrowth of tissue, which is different from the malignant nature of the lesion seen in the image.",Basal cell carcinoma,Plunging Ranula,Epulis,SCC of lip,D
Ophthalmology,Optics & Refraction,Optics,"What is the likely reason for a 21-year-old student to have ocular redness, feeling of a foreign object in the eye, and excessive tearing after wearing a contact lens, as indicated by the corneal scraping interface contrast microscopy image?"," • The interface contrast microscopy image shows cysts of Acanthamoeba, a free-living protozoan that
 can cause a serious corneal infection known as Acanthamoeba keratitis (AK). AK is a potential
 complication of contact lens use and can cause symptoms such as ocular redness, foreign body
 sensation, excessive tearing, and blurred vision. In severe cases, AK can lead to corneal scarring and
 vision loss.",Acanthamoeba,Naegleria fowleri,Entamoeba histolytica,Balamuthia mandiallaris,A
Ophthalmology,Optics & Refraction,Optics,Which refractive error is related to the provided image among the following options?,"• Astigmatism is a refractive error that results from an irregularly shaped cornea or lens in the eye,
 which causes blurred or distorted vision. It can cause difficulties with both near and distance vision. In
 astigmatism, the cornea or lens has different curvatures in different meridians, which leads to a focus of
 light at two different points instead of a single point. This results in distorted images, which can be seen
 in the image provided",Presbyopia,Astigmatism,Hypermetropia,Myopia,B
Ophthalmology,Optics & Refraction,Optics,"What is the term used to describe the refractive error seen in the ocular examination image of a 60-year-old patient who has complained of reduced distant vision, but no longer requires spectacles for near vision?","• The type of refractive error seen in the given ocular examination image of a 60-year-old patient who
 complains of decreased distant vision but no longer uses glasses for near vision is called index myopia.
 • The given image is of Nuclear cataract causing index myopia
 • Index myopia, also known as refractive myopia, is a type of myopia that is caused by a refractive error
 in the eye's lens rather than a structural anomaly such as elongation of the eyeball (axial myopia) or
 changes in the cornea's curvature (curvatural myopia).
 • This refractive error occurs when the refractive index of the lens changes, causing the light entering
 the eye to converge in front of the retina instead of on it, resulting in blurred distance vision.",Index myopia,Axial myopia,Curvatural myopia,Positional myopia,A
Ophthalmology,Optics & Refraction,Optics,"During a routine eye examination, a patient's visual acuity was evaluated using Snellen's chart, and it was determined to be 6/6. What is the smallest angle at which this patient can differentiate two separate points or objects?"," The minimum angle of resolution with 6/6 vision is 5 minutes of arc
 Visual acuity is essentially a
 measure of the eye's ability to distinguish object details and shape, evaluated from a
 set distance. For the question at hand, Snellen’s chart was used for this purpose.
 • Snellen’s Chart and 6/6 Vision: The Snellen’s chart is a standard tool used worldwide to evaluate
 visual acuity. When an individual records a vision of 6/6, it means they can see clearly at 6 meters what
 should normally be seen at that distance.
 • Minimum Angle of Resolution (MAR): The MAR, linked to visual acuity, is the smallest visual angle a
 person can perceive. It’s the angle subtended by the details of an object that are just discernible. The
 normal MAR for human vision is 1 minute of arc, which is equivalent to 1/60th of a degree.
 • 6/6 Vision and MAR: A vision of 6/6 correlates to a MAR of 1 minute of arc. But, in practicality, we
 consider it to be about 5 minutes of arc for identifying letters or numbers on the Snellen chart.",15 minutes of arc,5 minutes of arc,10 minutes of arc,20 minutes of arc,B
Ophthalmology,Optics & Refraction,Optics,In myopia image is formed at,"Myopia, also known as nearsightedness, is a refractive error of the eye where the eyeball is longer tha
 n normal or the cornea has excessive curvature. This causes light rays to focus in front of the retina ins
 tead of directly on it.",Anterior to retina,Posterior to retina,On retina,,A
Ophthalmology,Optics & Refraction,Optics,"What is the likely diagnosis for a 5-year-old girl who came for her first comprehensive eye examination after a school vision screening revealed unequal visual acuity? The patient's parents haven't observed any eye issues. The right eye has a visual acuity of 20/20 while the left eye has a visual acuity of 20/80. The rest of the examination, including the Fundus exam, showed no abnormalities."," The above is a case of amblyopia. In amblyopia, there is an uncorrectable decrease in vision in one or 
both eyes with no apparent structural abnormality seen to explain it. A
 difference of two or more lines on the visual acuity chart between the two eyes or a
 best corrected vision of 20/20 vision of 20/30 or worse is amblyopia",Brain lesion,Retinoblastoma,Congenital cataract,Amblyopia,C
Ophthalmology,Optics & Refraction,Optics,Identify the instrument.," • The instrument shown in the image is a Maddox rod. It is a diagnostic tool used in ophthalmology to
 assess eye alignment and evaluate for ocular deviations or muscle imbalances. The Maddox rod
 consists of a cylindrical lens with parallel lines running along its length.
 • The Maddox rod is typically used in the evaluation of horizontal strabismus (ocular misalignment) and
 is particularly useful in detecting and measuring the presence of a phoria (latent misalignment) or
 atropia (manifest misalignment).
 • When a patient looks through the Maddox rod, the parallel lines cause a displacement of light,
 creating a streak or line of light in front of one eye",Maddox wing,Maddox glass,Maddox rod,Phoropter,C
Ophthalmology,Optics & Refraction,Optics,"At a distance of 60m, what is the measurement of the angle formed by the largest letter on the Snellen's chart?","The angle subtended by the largest alphabet on the Snellen's chart at a 60-meter distance is 5
 minutes of arc.
 • The Snellen's chart is a commonly used tool for measuring visual acuity. The chart consists of several
 rows of letters, with each row representing a certain level of visual acuity. The largest letter on the
 Snellen's chart, typically located at the top, is designed to be seen at a distance of 6 meters (20 feet) by
 individuals with normal visual acuity.
 • To determine the angle subtended by an object, we can use the formula:
 • Angle (in minutes of arc) = (Size of the object / Distance to the object) * 3438
 • In this case, the distance to the object (the Snellen's chart) is 60 meters. Since the largest letter on the
 chart is designed to be seen at a distance of 6 meters, we can calculate the size of the letter at the
 given distance using the formula:
 • Size of the letter = (Size of the letter at 6 meters / Distance to the object) * 60
 • Assuming the size of the largest letter on the chart at 6 meters is 5 minutes of arc, we can substitute
 the values into the formula:
 • Size of the letter = (5 / 6) * 60 = 50 minutes of arc
 • Therefore, the angle subtended by the largest alphabet on the Snellen's chart at a 60-meter distance
 is 50 minutes of arc, which corresponds to the correct answer choice of A.",5,30,50,10,A
Ophthalmology,Optics & Refraction,Optics,Which of the following conditions is not managed using the spectacles depicted in the image? (or) Which of the following conditions is not managed using the spectacles depicted in the image?,"• Pediatric pseudophakia refers to the implantation of an intraocular lens (IOL) in the eye of a child who
 has had their natural lens removed, usually due to a cataract or other congenital eye conditions. In this
 case, spectacles are not used for vision correction because an IOL is implanted to replace the natural
 lens. Spectacles may be used for certain specific purposes like near vision, but the primary correction
 for vision comes from the intraocular lens.",Presbyopia,Aphakia,Pediatric pseudophakia,Hypermetropia,C
Ophthalmology,Optics & Refraction,Optics,What is the purpose of the test shown in the enclosed image?,"• The test shown in the image, the Titmus stereotest, is used for assessing stereopsis, which is the
 ability to perceive depth and three-dimensional vision. Therefore, the correct answer is B: Stereopsis
 test.
 • Stereopsis test: The Titmus stereotest is a commonly used test to assess stereopsis and depth
 perception. It uses various stereoscopic images to determine a person's ability to perceive depth and
 identify disparities between the two eyes.",Ocular deviation,Stereopsis test,Refractive errors,Colour Blindness,B
Ophthalmology,Orbital Diseases,Orbit,"In the provided image, which nerve is subjected to blockage?"," • The nasociliary nerve courses along the medial wall of the orbit.
 • It branches into the posterior and anterior ethmoidal nerves and the infratrochlear nerve. It innervates
 the lacrimal sac, inner canthus, and lateral aspect of the nose.
 • To block the infratrochlear nerve (a branch of the nasociliary nerve), the needle is inserted just above
 the medial canthal ligament along the medial wall of the orbit to a depth of 1.0 cm. For procedures like
 dacryocystorhinostomy, the anterior ethmoidal nerve (also a branch of the nasociliary nerve) with its
 distal external nasal branch is blocked using the same procedure but to a depth of 2.0 cm posterior to
 the anterior lacrimal crest.
 • Blocking the nasociliary nerve, particularly its branches, leads to anesthesia in the innervated areas,
 providing pain relief during procedures involving the lacrimal sac, inner canthus, and lateral aspect of
 the nose.",Anterior ethmoidal nerve,Nasociliary nerve,Supratrochlear nerve,Long ciliary nerve,B
Ophthalmology,Orbital Diseases,Orbit,Please identify the medical condition depicted in the provided image.," The above image is of Entropion. Entropion is the inward rolling of the eye margin towards the globe w
 hich is seen here. The most common cause being old age.
 · Spastic entropion: There is long-term patching which causes spasm of the muscle
 Treatment: Use botulinum toxin
 Treat the cause of spasm
 Surgical intervention: Displaced fibers of orbicularis oculi cause the eyelashes of the lower lid to turn 
inwards so surgery is needed to correct the laxity of the lower eyelid",Entropion,Ectropion,Trichiasis,Ptosis,A
Ophthalmology,Orbital Diseases,Orbit,"What would be your diagnosis for a patient who has a previous trauma history and is currently experiencing symptoms such as diplopia, epistaxis, and limited eye movements, upon examination of the provided CT image?","Blowout Fracture: A
 blowout fracture typically occurs when there is blunt trauma to the orbit (eye socket), resulting in a fract
 ure of the thin bones surrounding the orbit. This type of fracture often leads to the herniation of orbital c
 ontents, causing symptoms such as diplopia, epistaxis, and restricted eye movements. The CT image 
given above also supports this diagnosis.",Le-fort fracture,Fracture maxilla,Fracture zygomatic,Blow out fracture,D
Ophthalmology,Orbital Diseases,Orbit,"What is the probable diagnosis for a man of 45 years who arrives at the emergency department with an abrupt loss of vision and experiencing painful movements of the eye? Upon examination, a relative afferent pupillary defect is observed in the affected eye, but the optic disk appears normal. Further visual field testing demonstrates a central scotoma in the same eye."," • Summary: 45 year old man, sudden loss of vision and painful ocular movements, relative afferent
 pupillary defect (RAPD) in the affected eye, central scotoma seen in the same eye.
 • Most likely diagnosis: Optic neuritis
• Confirmation of the diagnosis: By the perimetry - in case of optic neuritis, either we get the central
 scotoma or the centrocecal scotoma (‘cecal’ means involving the blind spot).
 • Next step: Treatment is guided by the degree of the patient’s visual impairment, visual needs,
 presence of previous episodes, results of MRI and specific etiology, if identified. General guidelines for
 treatment are based on major multicentral trial (the Optic Neuritis Treatment Trial [ONTT]).",Optic nerve glioma,Optic neuritis,Eale’s disease,Neuroretinitis,B
Ophthalmology,Orbital Diseases,Orbit,"A male patient, aged 56, comes to the doctor with concerns about his eyes bulging and becoming more prominent over the past month. He has previously been diagnosed with Grave's disease. Apart from this, he is in good overall health. A physical examination reveals a swelling in the front of his neck that moves upward when he swallows, but does not move when he sticks out his tongue. The image below shows the patient's eyes. Based on these findings, what is the most probable diagnosis for the patient's current symptoms?","Thyroid eye disease
 • This is a case of thyroid eye disease in which the patient presents with complaints of progressive
 bilateral prominence and bulging of eyes for 1 week.
 • The patient is a known case of Grave's disease, in which there is the possibility of having thyroid eye
 disease.
 • On examination, the patient has exophthalmos and swelling in front of the neck, which moves upward
 on swallowing but doesn't move on protruding tongue.
 • The swelling in front of the neck on the patient's examination is most likely goiter.
 • In the given image, proptosis of the eye is shown.
 • The most common cause of unilateral proptosis in children is orbital cellulitis and in adults is thyroid
 ophthalmopathy.
 • The most common cause of bilateral proptosis in children is neuroblastoma and leukemia (chloroma)
 and in adults is thyroid ophthalmopathy.
 Option A: Orbital cellulitis
 • Orbital cellulitis is the infection of the orbital cavity.
 • It can be caused by bacteria, viruses or fungi.
 • It usually infects the soft tissues present in the orbital cavity.
 • This is not a case of orbital cellulitis.
 Option B: Preseptal cellulitis
 • The preseptal cellulitis is also known as periorbital cellulitis.
 • It is the infection of the frontal portion of the eyelid.
 • It doesn't involve the orbit.
 • This is not a case of preseptal cellulitis.
 Option D: Capillary hemangioma
 • Capillary hemangioma is the benign tumour of the orbit.
 • It usually affects infants.
 • It is caused due to incomplete blood vessel formation.
 • This is not a case of capillary hemangioma",Orbital cellulitis,Preseptal cellulitis,Thyroid eye disease,Capillary hemangioma,C
Ophthalmology,Orbital Diseases,Orbit,"A 5-year-old was brought with the complaints of protrusion of the right eye with no h/o fever. CT scan showed a well-defined mass in the orbit with an irregular border and adjacent bony destruction. Biopsy showed small, round cells which were positive for Desmin in immunohistochemistry. What is the probable diagnosis?"," • ""Rhabdomyosarcoma"" is the probable diagnosis based on the given information.
 • Rhabdomyosarcoma is a malignant tumor that arises from embryonal cells of skeletal muscle origin. It
 is the most common soft tissue sarcoma in children and can occur in various locations, including the
 orbit. The clinical presentation of an orbital rhabdomyosarcoma often includes proptosis (protrusion of
 the eye), without a history of fever.
 • The CT scan findings of a well-defined mass in the orbit with an irregular border and adjacent bony
 destruction are consistent with the characteristics of an aggressive tumor. Rhabdomyosarcoma can
 invade and destroy surrounding tissues, including adjacent bone.
 • The biopsy findings of small, round cells that are positive for Desmin in immunohistochemistry support
 the diagnosis of rhabdomyosarcoma. Desmin is a marker commonly used to identify cells of skeletal
 muscle origin, and its positive staining suggests a muscular differentiation of the tumor cells.",Retinoblastoma,Cavernous hemangioma,Orbital Cellulitis,Rhabdomyosarcoma,D
Orthopedics,General Orthopedics,Orthopedics Oncology,,"Brodie's abscess is a subacute or chronic bone abscess typically caused by Staphylococcus aureus inf
 ection. It often presents with localized pain and swelling. Radiographic findings may reveal a
 well-defined lytic lesion with a sclerotic border.
 • In children Brodie's abscess is most common in the metaphyseal area. Occurs before epiphyseal
 closure in a child.
 • Occurs before epiphyseal closure in a child.
 • In adults - more common in epiphysio-metaphyseal junction Occurs after epiphyseal closure in adults.
 • Occurs after epiphyseal closure in adults.
 • Most common sites - upper tibia, lower femur.
 • Most common organism - Staphylococcus aureus.
 • Most common age - 2nd decade.
 • Pathophysiology - Low virulence of the organism and good host resistance leads to confirming the
 infection. Cavity is formed. On aspiration sterile pus is seen - due to good host resistance.
 • Cavity is formed.
 • On aspiration sterile pus is seen - due to good host resistance.
 • Occurs before epiphyseal closure in a child.
 • Occurs after epiphyseal closure in adults.
 • Cavity is formed.
 • On aspiration sterile pus is seen - due to good host resistance.",Osteosarcoma,Osteoblastoma,Brodie's abscess,Ewing's sarcoma,C
Orthopedics,General Orthopedics,Orthopedics Oncology,,"• Enchondromas are benign hyaline cartilage tumors of unknown etiology occurring in bones of
 endochondral origin.
 • Although they can develop in other bones as well, these tumors are most frequently found in the tiny
 bones of the hands and feet.
 • When multiple enchondromas manifest in a unilateral pattern, the ailment is known as Ollier's disease.
 • In the given X-ray growth of some benign tumors made of cartilage tissue near the tiny bones of the
 hand is observed",A multiple brown tumor,Fibrous dysplasia,Multiple enchondromas,Multiple exostoses,C
Orthopedics,General Orthopedics,Orthopedics Oncology,," • Based on clinical presentation and the X-ray film provided, the most likely diagnosis is osteoclastoma
 or giant cell tumor. 
• Osteoclastoma is a benign bone tumor that typically presents as a painful, gradually enlarging mass,
 most commonly located in the epiphyseal region of long bones. 
Page 12
 75
• On imaging, osteoclastoma appears as a well-defined osteolytic lesion with areas of cortical thinning
 and expansion (soap bubble appearance).",Ewing’s sarcoma,Osteosarcoma,Osteoclastoma,Osteochondroma,C
Orthopedics,General Orthopedics,Orthopedics Oncology,," • The radiograph shows a well-defined bony protuberance arising from the metaphysis of the distal
 femur, which is consistent with an osteochondroma. 
• Osteochondromas are the most common benign bone tumors and are often asymptomatic. They
 typically arise from the metaphysis of long bones, such as the distal femur or proximal tibia. 
• They are well-defined bony protuberances may be pedunculated or sessile.
 • Osteochondromas are thought to arise from aberrant growth of the cartilage cap of the growth plate,
 which results in the formation of a bony projection",Enchondroma,Chondroblastoma,Osteochondroma,Giant cell tumor,C
Orthopedics,General Orthopedics,Orthopedics Oncology,," • The X-ray shows a radiolucent (dark) lesion with stippled (small, white, calcified) areas in the
 proximal phalanx of the finger. This classic appearance of an enchondroma makes option D the most
 likely diagnosis.
 • An enchondroma is a benign cartilage tumor that arises within the bone. 
• It is the most common type of benign bone tumor of the phalanges of  the hand and is usually seen in
 10 to 30 years of age.
 • Treatment: Curettage with wall cauterization",Osteosarcoma,Ewing's sarcoma,Osteoclastoma,Enchondroma,D
Orthopedics,General Orthopedics,Orthopedics Oncology,,"A giant cell tumor is a benign, locally aggressive bone tumor that typically affects th
 e epiphyseal region of long bones, most commonly around the knee joint. It consists of a proliferation o
 f multinucleated giant cells and stromal cells. The exact cause of GCT is unclear, but hormonal factors 
may play a role.
 Radiographic findings:
 • Radiographs often show an eccentrically located, lytic lesion with a well-defined but often nonsclerotic
 border.
 • The tumor typically extends to the subchondral region and may cause cortical thinning, expansion, or
 breakthrough.
 • There may be evidence of trabecular remodeling or a ""soap-bubble"" appearance within the lesion.
 • Occasionally, mineralized areas or calcifications can be seen within the tumor",Chondroblastoma,Osteochondroma,Giant cell tumor,Aneurysmal bone cyst,C
Orthopedics,General Orthopedics,Orthopedics Oncology,,"Cartilage thickness > 2cm
 • The image shows an osteochondroma.
 • An osteochondroma is a benign metaphyseal tumor with a cartilaginous cap. The tumor's medullary
 cavity is in continuity with the medullary canal of the parent bone.
 • The osteochondroma classically grows away from the growth plate.
 • The thickness of the cartilaginous cap, along with other findings, helps determine whether there is
 malignant transformation.
 • Cartilage thickness >2 cm is a sign of malignant transformation",Thickness of cartilage cap > 2cm,Bone marrow is continuous with the parent bone,The cartilaginous growth goes towards the joint,Cartilage thickness > 3 cm,A
